frame_index,hand_index,fingertip_id,x,y
0,0,4,498.35866421461105,150.42179822921753
0,0,8,473.1169208884239,99.50301051139832
0,0,12,438.05269718170166,88.4489119052887
0,0,16,404.9105888605118,95.38853913545609
0,0,20,376.12389266490936,130.58702647686005
0,1,4,671.000816822052,193.42774152755737
0,1,8,703.5907512903214,129.3346732854843
0,1,12,727.9789197444916,116.87233299016953
0,1,16,754.576028585434,122.73841351270676
0,1,20,780.1306051015854,142.30793714523315
1,0,4,498.8210138678551,150.06482601165771
1,0,8,475.26363760232925,98.36168587207794
1,0,12,438.5967868566513,88.21193873882294
1,0,16,404.17884826660156,96.22329473495483
1,0,20,374.5520916581154,130.44025003910065
1,1,4,668.6640810966492,192.4939751625061
1,1,8,704.2795395851135,129.4044703245163
1,1,12,727.7005463838577,118.49003285169601
1,1,16,753.3304119110107,123.86761605739594
1,1,20,778.9940840005875,141.95533096790314
2,0,4,500.6860092282295,149.54575896263123
2,0,8,475.4568821191788,98.80997985601425
2,0,12,438.66452246904373,88.00944685935974
2,0,16,403.9428147673607,96.32083028554916
2,0,20,374.28698778152466,130.5302530527115
2,1,4,669.2427530884743,192.69408285617828
2,1,8,702.6455557346344,130.08368015289307
2,1,12,726.9396537542343,118.53082478046417
2,1,16,753.594331741333,123.93632531166077
2,1,20,779.7579979896545,140.3830200433731
3,0,4,501.9272980093956,147.03164994716644
3,0,8,474.5606407523155,98.72915595769882
3,0,12,438.7815797328949,87.541863322258
3,0,16,403.66595208644867,96.46859019994736
3,0,20,374.4699841737747,130.87816536426544
3,1,4,669.0655136108398,192.5785392522812
3,1,8,702.9154366254807,129.33111190795898
3,1,12,726.6359663009644,117.28175729513168
3,1,16,753.5105502605438,123.05530905723572
3,1,20,779.3837577104568,139.7465318441391
4,0,4,503.83050948381424,147.76448905467987
4,0,8,475.48309445381165,97.95092791318893
4,0,12,439.4404810667038,87.01290935277939
4,0,16,403.82812559604645,95.33033519983292
4,0,20,373.16532850265503,130.16532361507416
4,1,4,668.9982271194458,192.45131313800812
4,1,8,702.5933760404587,129.28883731365204
4,1,12,726.8590569496155,117.53278970718384
4,1,16,753.4636783599854,123.46965819597244
4,1,20,779.3114900588989,140.63425362110138
5,0,4,502.83031702041626,148.26805889606476
5,0,8,475.50640791654587,98.44590723514557
5,0,12,440.7684910297394,88.08398246765137
5,0,16,404.3273440003395,95.59130668640137
5,0,20,373.2295936346054,130.73943555355072
5,1,4,668.7232425808907,191.70060753822327
5,1,8,702.8980433940887,129.2671114206314
5,1,12,726.4510917663574,117.96066164970398
5,1,16,753.5588103532791,123.5121488571167
5,1,20,779.023807644844,139.6656185388565
6,0,4,502.1167862415314,146.3935226202011
6,0,8,475.87627947330475,98.05861860513687
6,0,12,441.26685202121735,87.46436983346939
6,0,16,404.2724287509918,95.11689841747284
6,0,20,372.7221277356148,130.507230758667
6,1,4,668.5638046264648,191.6944980621338
6,1,8,702.577942609787,129.18800115585327
6,1,12,726.7084789276123,117.48304218053818
6,1,16,753.3541744947433,123.01255017518997
6,1,20,779.0258491039276,140.2265876531601
7,0,4,502.2369873523712,147.53428101539612
7,0,8,475.9855383634567,97.86530584096909
7,0,12,441.69498682022095,87.24500238895416
7,0,16,404.05150204896927,94.65338289737701
7,0,20,370.12775987386703,131.188303232193
7,1,4,668.5856482386589,191.36278331279755
7,1,8,702.7170884609222,129.14426624774933
7,1,12,726.6689562797546,117.36313253641129
7,1,16,753.5289233922958,122.82958626747131
7,1,20,778.9156919717789,140.11617004871368
8,0,4,502.1130707859993,148.59344065189362
8,0,8,475.2504497766495,97.94262796640396
8,0,12,441.5833190083504,87.60883659124374
8,0,16,404.15365666151047,94.9837937951088
8,0,20,370.2202379703522,130.81185519695282
8,1,4,668.3726015686989,191.09725952148438
8,1,8,702.9249089956284,129.2061060667038
8,1,12,726.6148167848587,117.8625300526619
8,1,16,752.9326540231705,122.97416478395462
8,1,20,778.9687699079514,140.81047475337982
9,0,4,502.2099992632866,147.42939174175262
9,0,8,476.01999819278717,97.32142090797424
9,0,12,439.068363904953,84.5877006649971
9,0,16,404.1062131524086,94.26800161600113
9,0,20,368.3831289410591,130.53610920906067
9,1,4,668.361781835556,190.9482330083847
9,1,8,703.7981635332108,129.86218929290771
9,1,12,726.7588621377945,118.32737922668457
9,1,16,753.2332384586334,123.01584333181381
9,1,20,779.1085690259933,140.76606929302216
10,0,4,502.38495230674744,147.6321667432785
10,0,8,474.48020726442337,92.62221306562424
10,0,12,435.4768657684326,84.20519530773163
10,0,16,400.2913385629654,96.35980427265167
10,0,20,364.6851074695587,131.63846731185913
10,1,4,668.5248535871506,190.73523581027985
10,1,8,703.9050543308258,129.44886088371277
10,1,12,726.9826877117157,118.41830611228943
10,1,16,753.5178995132446,123.3019009232521
10,1,20,779.9934190511703,141.2356048822403
11,0,4,502.7264475822449,150.0023901462555
11,0,8,461.64465576410294,89.28964287042618
11,0,12,423.9739379286766,82.60905742645264
11,0,16,388.328959941864,96.59643471240997
11,0,20,358.9317858219147,132.59127736091614
11,1,4,668.7896308302879,190.36361575126648
11,1,8,704.0268069505692,128.89361381530762
11,1,12,727.3119342327118,118.39012056589127
11,1,16,753.6027425527573,122.90577590465546
11,1,20,779.4291597604752,140.44035971164703
12,0,4,501.33258014917374,148.9400416612625
12,0,8,446.74898624420166,90.66075086593628
12,0,12,412.6293048262596,84.32766795158386
12,0,16,377.4692142009735,101.80192440748215
12,0,20,346.68168395757675,140.32715559005737
12,1,4,668.8394832611084,189.73782658576965
12,1,8,705.607059597969,128.86980175971985
12,1,12,727.4074745178223,118.4677854180336
12,1,16,752.5657629966736,122.77049571275711
12,1,20,779.2646181583405,141.39148592948914
13,0,4,503.39257568120956,153.40615808963776
13,0,8,436.5435689687729,88.68792653083801
13,0,12,391.6374710202217,88.23337405920029
13,0,16,360.47884434461594,109.58634316921234
13,0,20,340.26713371276855,149.76254105567932
13,1,4,668.8045743107796,189.72857296466827
13,1,8,705.5565947294235,128.49125266075134
13,1,12,727.3121792078018,119.01284009218216
13,1,16,753.1349217891693,122.5891038775444
13,1,20,779.032136797905,141.4370834827423
14,0,4,500.9684246778488,156.10478818416595
14,0,8,431.3763093948364,88.97668123245239
14,0,12,381.3875091075897,90.95421433448792
14,0,16,352.3366889357567,110.97139120101929
14,0,20,332.5702613592148,153.43721210956573
14,1,4,669.2955043911934,189.75311517715454
14,1,8,705.5975872278214,128.78891825675964
14,1,12,728.1120228767395,120.36626040935516
14,1,16,753.7742251157761,124.17684495449066
14,1,20,779.543154835701,143.99048686027527
15,0,4,501.37149035930634,159.12280976772308
15,0,8,423.14449310302734,89.91404622793198
15,0,12,374.31034207344055,92.98577904701233
15,0,16,345.95970153808594,114.96234685182571
15,0,20,327.9074463248253,159.58160161972046
15,1,4,669.2262580990791,190.03434479236603
15,1,8,706.0829645395279,130.67758083343506
15,1,12,728.0959361791611,121.40659987926483
15,1,16,753.0749028921127,123.98817390203476
15,1,20,780.1563274860382,145.2806144952774
16,0,4,500.08680015802383,162.01893985271454
16,0,8,421.2142935395241,89.62392807006836
16,0,12,369.9118959903717,95.21491080522537
16,0,16,343.57989102602005,117.57438629865646
16,0,20,325.54200768470764,161.7165058851242
16,1,4,669.4431427121162,189.52739238739014
16,1,8,707.5705349445343,130.8058500289917
16,1,12,728.381495475769,121.11204862594604
16,1,16,753.1030750274658,124.77236241102219
16,1,20,780.1587772369385,145.75980603694916
17,0,4,498.6399772763252,164.30148482322693
17,0,8,422.0470863580704,91.20482951402664
17,0,12,370.88738679885864,94.99599039554596
17,0,16,345.1265820860863,117.51357465982437
17,0,20,324.2445379495621,162.17078268527985
17,1,4,669.2102938890457,189.92605805397034
17,1,8,707.3296427726746,131.1669945716858
17,1,12,728.0475944280624,120.77154964208603
17,1,16,753.9744514226913,124.6228963136673
17,1,20,780.4386204481125,145.95021307468414
18,0,4,498.62662613391876,168.04441809654236
18,0,8,424.26194697618484,92.28135645389557
18,0,12,371.9667062163353,95.47329694032669
18,0,16,344.61723804473877,119.3089410662651
18,0,20,324.1728623211384,161.72923147678375
18,1,4,668.9112609624863,190.04233181476593
18,1,8,706.7077326774597,132.02829658985138
18,1,12,728.110226392746,122.45555222034454
18,1,16,752.6842492818832,126.62851810455322
18,1,20,780.6581997871399,147.70033955574036
19,0,4,498.9694279432297,171.50235176086426
19,0,8,426.7179039120674,93.03908050060272
19,0,12,373.12809228897095,95.51733732223511
19,0,16,343.8292756676674,117.98077821731567
